word,examples,word_audio,word_search,word_translation,example_translation
irgendein,"['Was für einen Saft möchten Sie? – Ganz egal, irgendeinen.']",irgendein,irgendein,['всеки'],"['Какъв сок бихте искали? - Няма значение, всеки сок.']"
irgendwann,['Ich habe Sie irgendwann schon mal gesehen.'],irgendwann,irgendwann,['по някое време'],['Виждал съм те и преди в някакъв момент.']
"sich irren, irrt sich, irrte sich, hat sich geirrt","['Du irrst dich. Das Auto war nicht grün, sondern rot.', 'Ich habe mich in der Hausnummer geirrt.']",sich irren,irren,['err'],"['Грешите. Колата не беше зелена, а червена.', 'Сбърках номера на къщата.']"
ja,"['Sind Sie verheiratet? – Ja.', 'Hallo? – Ja, bitte? Wer spricht denn da?', 'Denk bitte daran, die Tür abzuschließen. – Ja, ja, mach´ ich.', 'Heute Morgen um fünf hat es geschneit. – Ja, wirklich?', 'Ich würde ja gern kommen, aber es geht wirklich nicht.', 'Du weißt ja, dass ich kein Bier trinke. Gib mir bitte einen Tee.', 'Du bist hier in Berlin? – Das ist ja eine Überraschung.', 'Steige bitte ja nicht auf den Stuhl!']",ja,ja,['да'],"['Омъжена ли сте? - да', 'Здравейте? - Да, моля? Кой е този?', 'Моля, не забравяйте да заключите вратата. - Да, да, ще го направя.', 'Тази сутрин в пет часа заваля сняг. - Да, наистина?', 'С удоволствие бих дошъл, но наистина не мога.', 'Знаеш, че не пия бира. Дайте ми чаша чай, моля.', 'Вие сте тук, в Берлин? Това е изненада.', 'Моля, не се качвайте на стола!']"
"die Jacke, -n",['Zieh dir eine Jacke an. Es ist kalt.'],die Jacke,Jacke,['Яке'],['Облечете яке. Студено е.']
"die Jause, -n (A) → D: Imbiss; CH: Znüni/Zvieri",['Es ist Zeit für eine kleine Jause.'],die Jause,Jause,['Закуска'],['Време е за малка закуска.']
je,"['Die Pullover kosten je nach Qualität zwischen 40 und 60 Euro.', 'Fahren Sie im Juni oder im Juli? – Je nachdem, wann mein Mann Urlaub bekommt.']",je,je,['всеки'],"['Цената на джъмперите е между 40 и 60 евро, в зависимост от качеството.', 'Ще отидете ли през юни или юли, в зависимост от това кога съпругът ми излиза в отпуск?']"
je … desto …,"['Je länger ich Deutsch lerne, desto besser kann ich es verstehen.']",je … desto …,je … desto …,['... на ... на ...'],"['Колкото по-дълго уча немски, толкова по-добре го разбирам.']"
die Jeans (Pl.),['Nicht nur junge Leute tragen Jeans.'],die Jeans,Jeans,['Дънки'],['Не само младите хора носят дънки.']
"jeder, jedes, jede","['Das Restaurant hat jeden Tag geöffnet.', 'Jedes Kind bekommt ein Spiel.', 'Die Prospekte bekommen Sie in jedem Reisebüro.', 'Im Supermarkt gibt es keine Schmerztabletten. Das weiß doch jeder.']","jeder, jedes, jede",jeder,['всеки'],"['Ресторантът е отворен всеки ден.', 'Всяко дете получава игра.', 'Брошурите се предлагат във всяка туристическа агенция.', 'В супермаркета няма болкоуспокояващи. Всеки знае това.']"
jederzeit,['Sie können mich jederzeit anrufen.'],jederzeit,jederzeit,['по всяко време'],['Можете да ми се обадите по всяко време.']
jedes Mal,['Inge erzählt die Geschichte jedes Mal anders.'],jedes Mal,jedes Mal,['всеки път'],['Инге разказва историята всеки път по различен начин.']
jedoch,"['Sie ruft immer wieder an, jedoch ohne Erfolg.']",jedoch,jedoch,['обаче'],"['Тя продължава да се обажда, но без резултат.']"
jemals,"['Hast du jemals von dem Problem gehört? – Nein, nie.']",jemals,jemals,['някога'],"['Чувал ли си някога за този проблем? - Не, никога.']"
jemand,"['Hat jemand einen Bleistift für mich?', 'Kennst du jemand, der mir ein Fahrrad leihen kann?']",jemand,jemand,['някой'],"['Има ли някой молив за мен?', 'Познаваш ли някой, който може да ми даде назаем колело?']"
jetzt,"['Ich muss jetzt gehen.', 'Bis jetzt hat alles gut geklappt.', 'Ab jetzt werde ich wieder öfter ins Fitness-Studio gehen.', 'Ich habe jetzt schon dreimal bei meinem Bruder angerufen. Aber er ist nie da.', 'Über viele Dinge denke ich jetzt anders als früher.']",jetzt,jetzt,['сега'],"['Трябва да тръгвам.', 'Досега всичко е минало добре.', 'Отсега нататък отново ще ходя по-често на фитнес.', 'Обадих се на брат си три пъти. Но той никога не е там.', 'Сега мисля по различен начин за много неща, отколкото преди.']"
jeweils,['Der Kurs findet jeweils montags und donnerstags um 18 Uhr statt.'],jeweils,jeweils,['във всеки случай'],['Курсът се провежда в понеделник и четвъртък от 18:00 ч.']
"der Journalist, -en die Journalistin, -nen",['Meine Tochter möchte Journalistin werden.'],"der Journalist, die Journalistin",Journalist,['Журналист'],['Дъщеря ми иска да стане журналист.']
die Jugend,['In meiner Jugend habe ich mich sehr für Musik interessiert.'],die Jugend,Jugend,['Младежки'],['В младостта си се интересувах много от музика.']
"der Jugendliche, -n die Jugendliche, -nen","['Die Jugendlichen gehen gerne in die Disko.', 'Der Eintritt ist für Kinder und Jugendliche bis 16 Jahre frei.']","der Jugendliche, die Jugendliche",Jugendliche,['Тийнейджъри'],"['Младите хора обичат да ходят на дискотека.', 'Входът е безплатен за деца и младежи на възраст до 16 години.']"
"die Jugendherberge, -n",['Wo habt ihr übernachtet? – In einer Jugendherberge.'],die Jugendherberge,Jugendherberge,['Младежки хостел'],['Къде нощувахте? - В младежки хостел.']
jung,"['Für diesen Film bist du noch zu jung.', 'Meine Mutter ist jung geblieben.', 'Claudia ist 2', '– Was? Noch so jung?', 'Ich habe sehr jung geheiratet.', 'Bei uns im Haus wohnen viele junge Leute.', 'Mein Bruder ist zehn Jahre jünger als ich.', 'Ich bin in unserer Familie die Jüngste.']",jung,jung,['млади'],"['Все още сте твърде млади за този филм.', 'Майка ми е млада по душа.', 'Клаудия е на 2 години', '- Какво? Все още е толкова млада?', 'Омъжих се много млада.', 'В нашата къща живеят много млади хора.', 'Брат ми е с десет години по-млад от мен.', 'Аз съм най-младият в нашето семейство.']"
"der Junge, -n (D) → A, CH: Bub",['In der Schulklasse sind 15 Jungen und 10 Mädchen.'],der Junge,Junge,['Момче'],['В класа има 15 момчета и 10 момичета.']
"das Kabel, -","['Wo ist das Kabel für das Aufnahmegerät?', 'Mit Kabel bekommen Sie über 30 Fernsehkanäle.']",das Kabel,Kabel,['Кабел'],"['Къде е кабелът за записващото устройство?', 'С кабелната телевизия получавате над 30 телевизионни канала.']"
"die Kabine, -n","['Um zu wählen, gehen Sie bitte in diese Kabine.']",die Kabine,Kabine,['Кабина'],"['За да гласувате, моля, отидете на тази кабина.']"
der Kaffee,"['Bring bitte noch eine Packung Kaffee mit.', 'Zum Frühstück trinke ich gerne Kaffee.', 'Wir sind bei Müllers zum Kaffee eingeladen.', 'Einen Kaffee, bitte.']",der Kaffee,Kaffee,['Кафе'],"['Моля, донесете още една опаковка кафе.', 'Обичам да пия кафе за закуска.', 'Поканиха ни на кафе в Müllers.', 'Едно кафе, моля.']"
"das Kaffeehaus, ¨-er (A)",['Hier in der Nähe ist ein Kaffeehaus. Lass uns einen Kaffee trinken.'],das Kaffeehaus,Kaffeehaus,['Кафене'],['Наблизо има кафене. Нека да пием кафе.']
"der Kakao, -s",['Zum Frühstück trinke ich immer einen Kakao.'],der Kakao,Kakao,['Какао'],['Винаги пия какао на закуска.']
"der Kalender, -","['Ich habe den Termin in meinem Kalender notiert.', 'Haben Sie am Montag Zeit? – Moment. Ich muss erst in meinem Terminkalender nachschauen.']",der Kalender,Kalender,['Календар'],"['Отбелязах датата в календара си.', 'Свободен ли сте в понеделник? - Само за момент. Първо трябва да проверя дневника си.']"
kalt,"['Es ist kalt heute.', 'Du hast ja ganz kalte Hände.', 'Das Mittagessen ist kalt geworden.', 'Abends essen wir immer kalt.', 'Wir hatten einen kalten Winter.', 'Mir ist kalt. Mach bitte die Heizung an.']",kalt,kalt,['студено'],"['Днес е студено.', 'Ръцете ти са много студени.', 'Обядът е изстинал.', 'Вечерта винаги ядем студено.', 'Имаше студена зима.', 'Студено ми е. Моля, включете отоплението.']"
die Kälte,['Bei dieser Kälte fahre ich nicht mit dem Fahrrad.'],die Kälte,Kälte,['Cold'],['Не карам колело в този студ.']
"die Kamera, -s",['Ich habe eine ganz neue Kamera.'],die Kamera,Kamera,['Камера'],['Имам чисто нов фотоапарат.']
"kämpfen, kämpft, kämpfte, hat gekämpft",['Die Frauen kämpfen für mehr Rechte.'],kämpfen,kämpfen,['борба'],['Жените се борят за повече права.']
"der Kampf, ¨-e",['Im Schulbus gibt es immer einen Kampf um die Sitzplätze.'],der Kampf,Kampf,['Борба'],['В училищния автобус винаги има борба за местата.']
"der Kanal, ¨-e",['Mit Kabel bekommen Sie über 30 Fernsehkanäle.'],der Kanal,Kanal,['Канал'],['С кабелната телевизия получавате над 30 телевизионни канала.']
"der Kandidat, -en",['Wie viele Kandidaten kommen zur Prüfung?'],der Kandidat,Kandidat,['Кандидат'],['Колко кандидати ще се явят на изпита?']
"die Kanne, -n","['Das ist aber eine schöne Teekanne. – Ja, die ist aus China.', 'Bitte einen Kaffee! – Eine Tasse oder ein Kännchen?']",die Kanne,Kanne,['Джаджа'],"['Това е красив чайник. - Да, той е от Китай.', 'Едно кафе, моля! - Чаша или кана?']"
"die Kantine, -n",['In unserer Kantine kann man günstig essen.'],die Kantine,Kantine,['Столова'],['Можете да се храните евтино в нашата столова.']
"das Kapitel, -","['Die Lehrerin hat gesagt, wir sollen zwei Kapitel im Buch wiederholen.']",das Kapitel,Kapitel,['Глава'],['Учителят ни каза да повторим две глави от книгата.']
kaputt,"['Unsere Waschmaschine ist kaputt.', 'Ich bin noch ganz kaputt von der Reise.']",kaputt,kaputt,['счупен'],"['Пералната ни машина е повредена.', 'Все още съм изморен от пътуването.']"
kaputtgehen,"['Pass bitte mit diesem Glas auf. Es geht leicht kaputt.', 'Der Fernseher ist gestern kaputtgegangen.']",kaputtgehen,kaputtgehen,['почивка'],"['Моля, бъдете внимателни с това стъкло. То се чупи лесно.', 'Телевизорът се счупи вчера.']"
kaputtmachen,['Wer hat die Lampe kaputtgemacht?'],kaputtmachen,kaputtmachen,['почивка'],['Кой счупи лампата?']
"der Karneval, -s/-e (D) → D, A: Fasching; CH: Fasnacht",['Dort hängt mein Kostüm für den Karnevals(um)zug.'],der Karneval,Karneval,['Карнавал'],['Там виси моят костюм за карнавалния парад.']
"die Karotte, -n → D: Möhre; CH: Rüebli",['Hasen fressen gern Karotten.'],die Karotte,Karotte,['Морков'],['Зайците обичат да ядат моркови.']
"die Karriere, -n",['Mein Bruder hat große Pläne. Er will Karriere machen.'],die Karriere,Karriere,['Кариера'],['Брат ми има големи планове. Той иска да направи кариера.']
"die Karte, -n","['Schreibst du mir eine Karte aus dem Urlaub?', 'Diese Karte gilt nur für die', 'Klasse.', 'Hast du schon die Karten für das Konzert abgeholt?', 'Haben Sie eine Karte von Norddeutschland?', 'Herr Ober, bitte die Speisekarte.', 'Spielen Sie Karten?']",die Karte,Karte,['карта'],"['Ще ми напишеш ли картичка от почивката си?', 'Тази карта е валидна само за', 'клас.', 'Взехте ли вече билетите си за концерта?', 'Имате ли билет от Северна Германия?', 'Сервитьор, менюто, моля.', 'Играете ли карти?']"
"die Chipkarte, -n",['Ich habe eine Chipkarte für diesen Automaten.'],die Chipkarte,Chipkarte,['Карта с чип'],['Имам карта с чип за тази машина.']
"die Fahrkarte, -n → CH: Billett",['Fahrkarten können Sie am Schalter kaufen.'],die Fahrkarte,Fahrkarte,['Билет'],['Можете да закупите билети на гишето за продажба на билети.']
"die Kartoffel, -n → A: Erdapfel",['Kann ich bitte noch Kartoffeln bekommen?'],die Kartoffel,Kartoffel,['Картофи'],"['Мога ли да получа още картофи, моля?']"
der Käse,['Möchtest du Käse aufs Brot?'],der Käse,Käse,['Сирене'],['Искате ли сирене върху хляба си?']
"die Kasse, -n",['Zahlen Sie bitte an der Kasse.'],die Kasse,Kasse,['Касов апарат'],"['Моля, платете на касата.']"
"die Kassette, -n",['Meine Eltern besitzen noch viele Musikkassetten.'],die Kassette,Kassette,['Касета'],['Родителите ми все още имат много музикални касети.']
"der Kasten, ¨- (D) → Kiste (A, D) der Kasten, ¨- (A, CH) → D, CH: Schrank",['Ich habe zwei Kästen Bier gekauft. Die Handtücher liegen im Kasten.'],der Kasten,Kasten,['Кутия'],['Купих две каси бира. Кърпите са в кашона.']
"der Katalog, -e",['Ich habe mir ein Kleid aus dem Katalog bestellt.'],der Katalog,Katalog,['Каталог'],['Поръчах си рокля от каталога.']
"die Katastrophe, -n",['Der Urlaub war eine Katastrophe. Es hat nur geregnet.'],die Katastrophe,Katastrophe,['Бедствие'],['Празникът беше катастрофа. Само валеше.']
"(sich etwas) kaufen, kauft, kaufte, hat gekauft","['Im Supermarkt kauft man sehr günstig ein.', 'Ich habe mir einen Pullover gekauft.']",sich etwas kaufen,kaufen,['купи'],"['В супермаркета се купува много евтино.', 'Купих си един пуловер.']"
der Kauf,['Der neue Esstisch war ein guter Kauf.'],der Kauf,Kauf,['Закупуване'],['Новата маса за хранене беше добра покупка.']
"der Käufer, die Käuferin, -nen",['Ich habe schon einen Käufer für den alten Tisch.'],"der Käufer, die Käuferin",Käufer,"['купувач, купувачка']",['Вече имам купувач за старата маса.']
kaum,"['Ich kann Sie kaum verstehen. Bitte sprechen Sie lauter.', 'Es hat letzte Woche kaum geregnet.', 'Die Fahrt hat nicht lange gedauert. Kaum 20 Minuten.']",kaum,kaum,['едва ли'],"['Почти не ви чувам. Моля, говорете по-силно.', 'Миналата седмица почти не валя.', 'Пътуването не отне много време. Едва 20 минути.']"
kein-,"['Ich habe leider heute keine Zeit.', 'Jetzt habe ich noch keinen Hunger.', 'Ich habe keine Kinder.', 'Was für ein Auto haben Sie? – Ich habe keins.']",kein-,kein-,['никой -'],"['Съжалявам, но днес нямам време.', 'Все още не съм гладен.', 'Нямам деца.', 'Каква кола имате? - Нямам такава.']"
"der Keller, -",['Unser Keller ist nicht besonders groß.'],der Keller,Keller,['Изба'],['Избата ни не е особено голяма.']
"der Kellner, die Kellnerin, -nen → D, A: Ober; CH: Serviceangestellter",['Ich bin Kellnerin von Beruf.'],"der Kellner, die Kellnerin",Kellner,['Сервитьор'],['По професия съм сервитьорка.']
"kennen, kennt, kannte, hat gekannt","['Kennen Sie hier in der Nähe ein gemütliches Café?', 'Kennen Sie diese Frau? – Nein, leider nicht.', 'Kennen Sie Berlin? – Ja, eine tolle Stadt.']",kennen,kennen,['да знаете'],"['Знаете ли уютно кафене наблизо?', 'Познавате ли тази жена? - Не, за съжаление не.', 'Познавате ли Берлин? - Да, това е страхотен град.']"
"kennenlernen, lernt kennen, lernte kennen, hat kennengelernt","['Wo habt ihr euch kennengelernt?', 'Ich möchte gern reisen und andere Länder kennenlernen.']",kennenlernen,kennenlernen,['опознайте'],"['Къде се запознахте?', 'Бих искал да пътувам и да опознавам други страни.']"
die Kenntnisse (Pl.),"['In vielen Berufen braucht man heute Sprachkenntnisse.', 'Ich möchte meine Deutschkenntnisse verbessern.']",die Kenntnisse,Kenntnisse,['Знания'],"['Много професии днес изискват езикови умения.', 'Бих искал да подобря уменията си по немски език.']"
"das Kennzeichen, -",['Das Auto hat ein Schweizer Kennzeichen.'],das Kennzeichen,Kennzeichen,['регистрационна табела'],['Автомобилът е с швейцарска регистрационна табела.']
"die Kerze, -n",['Für den Geburtstagstisch brauchen wir viele Blumen und Kerzen.'],die Kerze,Kerze,['Свещ'],['Имаме нужда от много цветя и свещи за масата за рождения ден.']
"die Kette, -n",['Ich habe zum Geburtstag eine goldene Kette bekommen.'],die Kette,Kette,['верига'],['Получих златно колие за рождения си ден.']
"das Kind, -er","['Mein Bruder hat zwei Kinder.', 'Wir haben ein Kind bekommen.', 'Die Kinder spielen Fußball.']",das Kind,Kind,['дете'],"['Брат ми има две деца.', 'Имахме дете.', 'Децата играят футбол.']"
"der Kindergarten, ¨-",['Morgens bringe ich meinen Sohn in den Kindergarten.'],der Kindergarten,Kindergarten,['Детска градина'],['Водя сина си на детска градина сутрин.']
die Kindheit,['In meiner Kindheit war ich oft auf dem Land bei meinen Großeltern.'],die Kindheit,Kindheit,['Детство'],['В детството си често прекарвах време на село с баба и дядо.']
"das Kino, -s",['Wollen wir ins Kino gehen?'],das Kino,Kino,['Кино'],['Ще отидем ли на кино?']
"der Kiosk, -e",['Zeitungen bekommst du am Kiosk.'],der Kiosk,Kiosk,['Киоск'],['Вестници можете да си купите от вестникарските будки.']
"die Kirche, -n",['Diese Kirche ist aus dem 12. Jahrhundert.'],die Kirche,Kirche,['Църква'],['Тази църква е от 12 век.']
"die Kiste, -n (A, D) → D: Kasten",['Ich habe zwei Kisten Bier gekauft.'],die Kiste,Kiste,['Кутия'],['Купих две каси бира.']
"das Kissen, -",['Ohne Kopfkissen kann ich nicht schlafen.'],das Kissen,Kissen,['Възглавница'],['Не мога да заспя без възглавница.']
"klagen, klagt, klagte, hat geklagt",['Sie klagt über Kopfschmerzen.'],klagen,klagen,['Сю'],['Тя се оплаква от главоболие.']
"klappen, klappt, klappte, hat geklappt",['Wie war die Reise? – Gut. Es hat alles prima geklappt.'],klappen,klappen,['сгъване'],['Как мина пътуването? - Добре. Всичко мина много добре.']
klar,"['Sie müssen noch mehr Deutsch lernen. – Ja, das ist mir klar.', 'Kommst du mit? – Klar!', 'Ich komme zu deinem Geburtstag, das ist doch klar.', 'Leider haben wir bei der Bahn keine klare Auskunft bekommen.']",klar,klar,['ясно'],"['Трябва да научите повече немски. - Да, осъзнавам това.', 'Идваш ли с мен? - Разбира се!', 'Ще дойда на рождения ти ден, това е сигурно.', 'За съжаление не получихме ясна информация от железницата.']"
"klären, klärt, klärte, hat geklärt","['Ich hoffe, wir können dieses Problem bald klären.']",klären,klären,['изяснете'],"['Надявам се, че скоро ще успеем да разрешим този проблем.']"
klasse,['Ich finde unseren Lehrer klasse.'],klasse,klasse,['клас'],"['Мисля, че нашият учител е страхотен.']"
"die Klasse, -n","['In der Klasse sind 24 Schülerinnen und Schüler.', 'Im Herbst komme ich in die 7. Klasse.', 'Einmal nach Frankfurt,', 'Klasse, bitte.']",die Klasse,Klasse,['Клас'],"['В класа има 24 ученици.', 'През есента ще бъда в 7 клас.', 'Веднъж до Франкфурт,', 'Клас, моля.']"
"die Klassenarbeit, -en (D) → A: Schularbeit",['Mein Sohn schreibt bei Klassenarbeiten immer gute Noten.'],die Klassenarbeit,Klassenarbeit,['Работа в клас'],['Синът ми винаги получава добри оценки на тестовете в клас.']
"das Klavier, -e",['Meine Tochter möchte Klavier spielen lernen.'],das Klavier,Klavier,['Пиано'],['Дъщеря ми иска да се научи да свири на пиано.']
"kleben, klebt, klebte, hat geklebt","['Die Briefmarke klebt nicht mehr.', 'Ich klebe Ihnen ein Pflaster darauf.']",kleben,kleben,['лепило'],"['Печатът вече не залепва.', 'Ще го залепя с гипс.']"
"das Kleid, -er",['Ich habe mir ein neues Kleid gekauft.'],das Kleid,Kleid,['рокля'],['Купих си нова рокля.']
die Kleidung,['Hier brauchen Sie auch im Sommer warme Kleidung.'],die Kleidung,Kleidung,['Облекло'],['Тук се нуждаете от топли дрехи дори през лятото.']
klein,"['Unsere Wohnung ist klein.', 'Unser Kind ist noch klein.', 'Wir machen am Sonntag einen kleinen Ausflug.']",klein,klein,['малък'],"['Апартаментът ни е малък.', 'Детето ни все още е малко.', 'В неделя отиваме на малка екскурзия.']"
"klettern, klettert, kletterte, ist geklettert",['Die Kinder sind auf den Baum geklettert.'],klettern,klettern,['изкачване'],['Децата са се качили на дървото.']
"klicken, klickt, klickte, hat geklickt","['Wenn du die Datei öffnen willst, musst du mit der Maus zweimal klicken.']",klicken,klicken,['кликнете върху'],"['Ако искате да отворите файла, трябва да щракнете два пъти с мишката.']"
"der Klick, - s","['Um das Wort zu markieren, genügt ein Doppelklick mit der linken Maustaste.']",der Klick,Klick,['кликнете върху'],"['За да изберете думата, просто щракнете два пъти с левия бутон на мишката.']"
das Klima,"['Alle sagen, dass sich das Klima ändert.']",das Klima,Klima,['Климат'],"['Всички казват, че климатът се променя.']"
"die Klimaanlage, -n",['Im Sommer brauchen wir eine Klimaanlage.'],die Klimaanlage,Klimaanlage,['Климатик'],['През лятото имаме нужда от климатик.']
"klingeln, klingelt, klingelte, hat geklingelt","['Ich glaube, es hat an der Tür geklingelt.', 'Das Telefon klingelt.']",klingeln,klingeln,['пръстен'],"['Мисля, че звънецът на вратата е звъннал.', 'Телефонът звъни.']"
"die Klingel, -n",['Drück bitte auf die Klingel!'],die Klingel,Klingel,['Bell'],"['Моля, натиснете звънеца!']"
"klingen, klingt, klang, hat geklungen","['Wollen wir einkaufen gehen und danach zusammen kochen? – Ja, das klingt gut.']",klingen,klingen,['звук'],"['Да отидем да пазаруваме и после да сготвим заедно? - Да, това звучи добре.']"
"die Klinik, -en","['Ich muss in die Klinik, um meinen kranken Onkel zu besuchen.']",die Klinik,Klinik,['Клиника'],"['Трябва да отида в клиниката, за да посетя болния си чичо.']"
"klopfen, klopft, klopfte, hat geklopft","['Da klopft jemand ans Fenster.', 'Hat es nicht eben geklopft?', 'Bitte klopfen Sie an.']",klopfen,klopfen,['чук'],"['Някой чука на прозореца.', 'Не се ли чукаше току-що?', 'Моля, почукайте.']"
"der Kloß, ¨-e (D) → D, A: Knödel","['Möchten Sie zum Fleisch Kartoffeln oder Klöße? – Klöße, bitte.']",der Kloß,Kloß,['Кнедли'],"['Искате ли картофи или кнедли към месото? - Кнедли, моля.']"
klug,"['Ich halte sie für klug.', 'Er hat sich in der Diskussion nicht besonders klug verhalten.', 'Das ist ein kluger Hund.']",klug,klug,['умен'],"['Мисля, че са умни.', 'Той не се държеше много умно по време на дискусията.', 'Това е умно куче.']"
knapp,"['Mach schnell. Die Zeit ist knapp.', 'Unser Geld wird knapp. Wir müssen sparen.', 'Die Fahrt war kurz. Nur knapp eine Stunde.', 'Die Wohnung hat nur knapp 30 m².', 'Der Tisch hat nur knapp 50 Euro gekostet.']",knapp,knapp,['оскъден'],"['Бъдете бързи. Времето е кратко.', 'Парите ни свършват. Трябва да пестим.', 'Пътуването беше кратко. Малко под час.', 'Жилището е само 30 m².', 'Масата струва само малко под 50 евро.']"
"die Kneipe, -n (D)",['Gehen wir noch in eine Kneipe ein Bier trinken?'],die Kneipe,Kneipe,['кръчма'],['Да отидем ли в кръчмата на по бира?']
"das Knie, -",['Ich habe mich am Knie verletzt. Jetzt kann ich nicht laufen.'],das Knie,Knie,['Коляно'],['Нараних си коляното. Сега не мога да ходя.']
"der Knochen, -",['Ich bin hingefallen. Jetzt tun mir alle Knochen weh.'],der Knochen,Knochen,['Кости'],['Аз паднах. Сега всички кости ме болят.']
"der Knödel, - (D, A) → D: Kloß",['Möchten Sie zum Fleisch Erdäpfel oder Knödel? – Knödel bitte.'],der Knödel,Knödel,['Кнедли'],"['Искате ли картофи или кнедли към месото? - Моля, кнедли.']"
"der Knopf, ¨-e","['An meiner Jacke fehlt ein Knopf.', 'Der Fahrstuhl kommt nicht. – Sie müssen auf den Knopf drücken.']",der Knopf,Knopf,['бутон'],"['Едно копче липсва от сакото ми.', 'Асансьорът не идва. - Трябва да натиснете бутона.']"
"kochen, kocht, kochte, hat gekocht","['Ich koche gern.', 'Das Wasser kocht.', 'Der Reis muss etwa 20 Minuten kochen.']",kochen,kochen,['готвач'],"['Обичам да готвя.', 'Водата ври.', 'Оризът трябва да се вари около 20 минути.']"
"der Koch, ¨-e die Köchin, -nen",['Ein Freund von mir ist Koch in einem teuren Restaurant.'],"der Koch, die Köchin",Koch,['Готвач'],['Един мой приятел е готвач в скъп ресторант.']
"der Koffer, -",['Ich habe den Koffer schon gepackt.'],der Koffer,Koffer,['Куфарче'],['Вече съм си опаковал куфара.']
"der Kollege, -n die Kollegin, -nen","['Ich habe guten Kontakt zu meinen Kollegen.', 'Mein neuer Kollege ist sehr nett.']","der Kollege, die Kollegin",Kollege,['Колега'],"['Имам добър контакт с колегите си.', 'Новият ми колега е много приятен.']"
komisch,"['Das Essen schmeckt komisch. Probier mal.', 'Der Film war sehr komisch. Wir haben viel gelacht.', 'Eine grüne Hose und gelbe Schuhe? Das sieht komisch aus.']",komisch,komisch,['смешно'],"['Храната е със смешен вкус. Опитайте.', 'Филмът беше много смешен. Много се смяхме.', 'Зелени панталони и жълти обувки? Това изглежда смешно.']"
"kommen, kommt, kam, ist gekommen","['Woher kommen Sie? – Aus Frankreich.', 'Wir gehen heute Abend ins Konzert. Kommen Sie auch?', 'Kommen Sie doch mal wieder zu uns.', 'Wenn Sie mal nach Köln kommen, besuchen Sie uns.', 'Steffi kommt im Herbst in die Schule.', 'Die Straßenbahn muss gleich kommen.', 'Wer kommt als Nächster dran?', 'Die Handtücher kommen in den Schrank.', 'Wie sind Sie denn auf diese Idee gekommen?']",kommen,kommen,['елате'],"['Откъде сте? - От Франция.', 'Ще отидем на концерта тази вечер. Вие също ли ще дойдете?', 'Защо не дойдете да ни видите отново?', 'Ако някога дойдете в Кьолн, елате да ни видите.', 'Стефи ще дойде на училище през есента.', 'Трамваят трябва да дойде скоро.', 'Кой е следващият?', 'Сложете кърпите в шкафа.', 'Как ви хрумна тази идея?']"
die Kommunikation,['Die Kommunikation zwischen den Abteilungen ist gut.'],die Kommunikation,Kommunikation,['Комуникация'],['Комуникацията между отделите е добра.']
komplett,"['Ich habe den Termin komplett vergessen.', 'Die Wohnung ist jetzt komplett eingerichtet.']",komplett,komplett,['напълно'],"['Напълно съм забравил датата.', 'Жилището вече е напълно обзаведено.']"
kompliziert,['Er schreibt viel zu kompliziert.'],kompliziert,kompliziert,['сложно'],['Той пише твърде сложно.']
"der Kompromiss, -e",['Alle wollen etwas anderes. Wir müssen einen Kompromiss finden.'],der Kompromiss,Kompromiss,['Компромис'],['Всеки иска нещо различно. Трябва да намерим компромис.']
"die Konferenz, -en",['Die Konferenz findet in Raum 19 statt.'],die Konferenz,Konferenz,['Конференция'],['Конференцията ще се проведе в зала 19.']
"die Konfitüre, -n (CH)",['Bring bitte noch ein Glas Konfitüre mit.'],die Konfitüre,Konfitüre,['Jam'],"['Моля, донесете още един буркан със сладко.']"
"der Konflikt, -e","['Das ist ein alter Konflikt.', 'Ich habe einen Konflikt mit meinen Eltern.']",der Konflikt,Konflikt,['Конфликт'],"['Това е стар конфликт.', 'Имам конфликт с родителите си.']"
"der König, -e",['Der spanische König ist in Deutschland zu Besuch.'],der König,König,['King'],['Кралят на Испания е на посещение в Германия.']
die Konkurrenz,"['Die Reparatur ist mir hier zu teuer. Bei der Konkurrenz bekomme ich sie für die Hälfte.', 'Es ist schwer, ein Geschäft aufzumachen. Die Konkurrenz ist groß.']",die Konkurrenz,Konkurrenz,['Състезание'],"['Ремонтът е твърде скъп за мен тук. Мога да го получа на половин цена при конкуренцията.', 'Трудно е да се започне бизнес. Има много конкуренция.']"
"können, kann, konnte, hat gekonnt (hat können als Modalverb)","['Ich kann den schweren Koffer nicht tragen.', 'Sie können mit dem Bus zum Bahnhof fahren.', 'Kann ich jetzt nach Hause gehen?', 'Können Sie mir helfen?', 'Ich kann sehr gut Englisch und Deutsch.', 'Es kann sein, dass es heute noch regnet.']",können,können,['може да'],"['Не мога да нося тежкия куфар.', 'Можете да вземете автобуса до гарата.', 'Мога ли да се прибера вкъщи сега?', 'Можете ли да ми помогнете?', 'Говоря много добре английски и немски.', 'Може би днес все още ще вали.']"
"das Konsulat, -e",['Ein Visum bekommst du auch im Konsulat.'],das Konsulat,Konsulat,['Консулство'],['Виза можете да получите и в консулството.']
"konsumieren, konsumiert, konsumierte, hat konsumiert",['Die Europäer haben im letzten Jahr mehr Fleisch konsumiert.'],konsumieren,konsumieren,['консумирайте'],['През миналата година европейците са консумирали повече месо.']
der Konsum,['Der Konsum von Lebensmitteln steigt.'],der Konsum,Konsum,['Потребление'],['Потреблението на храни се увеличава.']
